District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Kowloon City,Cheung Kei Center Tower A (non-residential),16/07/2020,1888
Wong Tai Sin,Tsz Wan Shan Shopping Centre TamJai SamGor (non-residential),16/07/2020,1896
Kwun Tong,Richland Gardens Commercial Building (non-residential),16/07/2020,1898
Kwun Tong,Ping Shek Estate McDonald’s (non-residential),16/07/2020,1904
Sham Shui Po,Nam Pont Building (non-residential),16/07/2020,1907
Yuen Long,Tin Lai Court (non-residential),16/07/2020,1907
Southern,Block B TWGHs Jockey Club Rehabilitation Complex (non-residential),16/07/2020,1908
Wan Chai,Sing Kung Lau Hot In A Pot (non-residential),16/07/2020,1909
Yau Tsim Mong,Glorydays Building (non-residential),16/07/2020,1941
Kwai Tsing,Metroplaza McDonald’s (non-residential),16/07/2020,1973
Wong Tai Sin,Choi Hung Estate Oi Kwan Fast Food Restaurant (non-residential),16/07/2020,1980
Sai Kung,Li Dak Sum Yip Yio Chin Kenneth Li Conference Lodge (non-residential),16/07/2020,1991
Yau Tsim Mong,238 Nathan Road (non-residential),16/07/2020,2011
Tuen Mun,Yan Oi Market (non-residential),16/07/2020,2017
Kwai Tsing,MTR Kwai Fong Station (non-residential),16/07/2020,2023
Tsuen Wan,Fortune Mansion (non-residential),16/07/2020,2024
Sham Shui Po,63 Wing Hong Street Global Gateway Tower (non-residential),16/07/2020,2031
Sham Shui Po,345 Tai Nam Street (non-residential),16/07/2020,2039
Kwun Tong,Kowloon Bay Industrial Centre Kowloon Café (non-residential),16/07/2020,2071
Kowloon City,17 Lion Rock Road (non-residential),16/07/2020,2103
Kwai Tsing,Cheung Hang Estate Commerical Complex (non-residential),16/07/2020,2106
Sha Tin,MOSTown (non-residential),16/07/2020,2146
Yau Tsim Mong,Cite33 (non-residential),16/07/2020,2149
Tuen Mun,Tai Hing Commercial Complex Café de Cora (non-residential),16/07/2020,2156
North,North District Sports Ground (non-residential),16/07/2020,2166
Yau Tsim Mong,The One (non-residential),16/07/2020,2441
Kwun Tong,APM (non-residential),16/07/2020,2450
Kwun Tong,8 Clear Water Bay Road Infinity Eight (non-residential),16/07/2020,"1322, 1597, 1710, 1869, 2094"
Wong Tai Sin,Our Lady of Maryknoll Hospital (non-residential),16/07/2020,"1331, 1815, 2187"
Kwun Tong,8 Clear Water Bay Road Infinity Eight Café de Coral (non-residential),16/07/2020,"1394, 1523, 1624, 1904"
Kwun Tong,Yuk Shek House Ping Shek Estate (non-residential),16/07/2020,"1597, 1904"
Wan Chai,Wan Chai Tower (non-residential),16/07/2020,"1653, 2039, 2042"
Kowloon City,Global Funeral Parlour (non-residential),16/07/2020,"1693, 1713"
Yau Tsim Mong,113 Prince Edward Road West Sei Kee Congee (non-residential),16/07/2020,"1724, 1799"
Yau Tsim Mong,Edward Mansion (non-residential),16/07/2020,"1771, 2380"
Yau Tsim Mong,Han Hing Mansion (non-residential),17/07/2020,1673
Yau Tsim Mong,Office Tower 1 Grand Plaza (non-residential),17/07/2020,1687
Kwun Tong,Yeung Yiu Chung No.5 Industrial Building (non-residential),17/07/2020,1687
Eastern,Lee & Man Commercial Center Deluxe Cuisine (non-residential),17/07/2020,1707
Central & Western,Wing Wo Street Wo Hing Commercial Building (non-residential),17/07/2020,1730
Central & Western,Hau Qin International Building (non-residential),17/07/2020,1745
Central & Western,Man On Commercial Building (non-residential),17/07/2020,1745
Wan Chai,310-312 Hennessy Road Jollibee (non-residential),17/07/2020,1749
Central & Western,ICBC Tower (non-residential),17/07/2020,1749
Islands,Hong Kong International Airport Terminal 1 (non-residential),17/07/2020,1754
Eastern,Customs Headquarters Building (non-residential),17/07/2020,1769
Tuen Mun,Pentahotel Tuen Mun (non-residential),17/07/2020,1772
Tuen Mun,Waldorf Shopping Arcade E-Mo Korean Restaurant (non-residential),17/07/2020,1778
Wong Tai Sin,Yue Yee Mansion (non-residential),17/07/2020,1779
Kwai Tsing,Metroplaza (non-residential),17/07/2020,1820
Wong Tai Sin,Lung Poon Court Commercial Complex (non-residential),17/07/2020,1866
Tsuen Wan,Kolour Tsuen Wan I (non-residential),17/07/2020,1867
Wong Tai Sin,Block 5 Scenic View (non-residential),17/07/2020,1869
North,Choi Ping House Choi Yuen Estate (non-residential),17/07/2020,1887
Kowloon City,Laguna Verde Tower 23 (non-residential),17/07/2020,1904
Eastern,Ko Fung Court Harbour Heights (non-residential),17/07/2020,1909
Wan Chai,Windsor House East Ocean · Lafayette (non-residential),17/07/2020,1909
Wan Chai,Causeway Bay Market (non-residential),17/07/2020,1923
Sham Shui Po,Hop Hing Industrial Building (non-residential),17/07/2020,1934
Sha Tin,New Town Plaza Jade Garden (non-residential),17/07/2020,1937
North,Choi Yuen Plaza (non-residential),17/07/2020,1946
Yau Tsim Mong,MTR Mong Kok East Station Maxim's MX (non-residential),17/07/2020,1951
Yau Tsim Mong,MPM Plaza Satay King (non-residential),17/07/2020,1959
Wong Tai Sin,Choi Hung Road Market & Cooked Food Centre (non-residential),17/07/2020,1962
Wong Tai Sin,Tak Tsz House 新昌燒臘飯店 (non-residential),17/07/2020,1963
Central & Western,Alexandra House (non-residential),17/07/2020,1977
Wan Chai,Soundwill Plaza (non-residential),17/07/2020,1979
Sha Tin,Ma On Shan Plaza (non-residential),17/07/2020,2000
Tuen Mun,K-Point (non-residential),17/07/2020,2017
Tuen Mun,Tuen Mun Town Plaza Phase 2 Pho Le (non-residential),17/07/2020,2017
Sham Shui Po,Liberte Place (non-residential),17/07/2020,2018
Wan Chai,East Point Centre (non-residential),17/07/2020,2032
Wan Chai,Pearl City Mansion (non-residential),17/07/2020,2038
Wan Chai,Times Square (non-residential),17/07/2020,2038
Yau Tsim Mong,Nathan Hotel Tao Heung (non-residential),17/07/2020,2089
Kowloon City,Chatham Gate (non-residential),17/07/2020,2102
Kwun Tong,Hip Wo House (non-residential),17/07/2020,2124
Wan Chai,Hong Kong Police Headquarters (non-residential),17/07/2020,2164
Sha Tin,Tung Wah Group Of Hospitals Mrs. Fung Wong Fung Ting College (non-residential),17/07/2020,2178
Sham Shui Po,Golden Computer Arcade (non-residential),17/07/2020,2186
Sham Shui Po,Shek On Building (non-residential),17/07/2020,2186
Yau Tsim Mong,Gateway Arcade (non-residential),17/07/2020,2192
Tsuen Wan,Kolour‧Tsuen Wan Tao Heung Tea House (non-residential),17/07/2020,2196
Yau Tsim Mong,MTR Olympic Station (non-residential),17/07/2020,2204
Yau Tsim Mong,91-93 Ivy Street Sunny Thai Restaurant (non-residential),17/07/2020,2231
Sham Shui Po,The Prominence (non-residential),17/07/2020,2249
Yau Tsim Mong,1-9 Cameron Lane (non-residential),17/07/2020,2250
Tuen Mun,Kam Wah Shopping Arcade (non-residential),17/07/2020,2254
Yau Tsim Mong,Hing Lee Commercial Building (non-residential),17/07/2020,2260
Yau Tsim Mong,Mira Place 2 (non-residential),17/07/2020,2263
Kwun Tong,Choi Tak Shopping Centre (non-residential),17/07/2020,2320
Kwun Tong,One Kowloon (non-residential),17/07/2020,2376
Wan Chai,Chinachem Century Tower (non-residential),17/07/2020,2382
Sham Shui Po,Block 11 Pak Tin Estate (non-residential),17/07/2020,2652
Sham Shui Po,Shek Kip Mei Estate Ancillary Facilities Block (non-residential),17/07/2020,2652
Kowloon City,Hong Kong Baptist Hospital (non-residential),17/07/2020,"1314, 1364, 1557, 1644, 1779, 2008"
Wong Tai Sin,Tsz Wan Shan Shopping Centre Deluxe Cuisine (non-residential),17/07/2020,"1365,1393, 1424, 1425, 1515, 1538, 1607,1662, 1666, 2035, 2086, 2187"
Eastern,Cityplaza (non-residential),17/07/2020,"1376, 1752"
Yau Tsim Mong,Lippo Sun Plaza (non-residential),17/07/2020,"1623, 1975"
Wong Tai Sin,Tsz Wan Shan Shopping Centre Meet Point (non-residential),17/07/2020,"1686, 1936, 2160, 2161"
Kwun Tong,Ping Shek Estate Fairwood (non-residential),17/07/2020,"1710, 1854, 1904, 2094"
Yau Tsim Mong,Mongkok Government Offices (non-residential),17/07/2020,"1799, 1951"
Tsuen Wan,Discovery Park (non-residential),17/07/2020,"1859, 2204"
Yuen Long,YOHO MALL I Pizza Express (non-residential),17/07/2020,"1903, 1996"
Sham Shui Po,China Fen Hin Building (non-residential),17/07/2020,"2018, 2169"
Sham Shui Po,Kowloon Plaza Orion Kitchen (non-residential),17/07/2020,"2031, 2035"
Wong Tai Sin,Temple Mall (non-residential),17/07/2020,"2201, 2380"
Yau Tsim Mong,ELEMENTS (non-residential),18/07/2020,1715
Yau Tsim Mong,Yue Wong Building (non-residential),18/07/2020,1715
Kowloon City,Berkeley Building Honolulu Restaurant (non-residential),18/07/2020,1723
Kowloon City,The Whampoa Spotlight Recreation Club (non-residential),18/07/2020,1723
Tuen Mun,Fu Tai Market (non-residential),18/07/2020,1731
Tuen Mun,Fu Tai Shopping Centre (non-residential),18/07/2020,1731
Tuen Mun,Tuen Mun Town Plaza Phase 3 (non-residential),18/07/2020,1731
Eastern,Cityplaza 3 (non-residential),18/07/2020,1738
Yau Tsim Mong,Multifield Plaza (non-residential),18/07/2020,1739
Kwun Tong,Hing Win Factory Building (non-residential),18/07/2020,1744
Kwun Tong,Kwun Tong View (non-residential),18/07/2020,1744
Kwun Tong,Sing Win Factory Building Thai Food Fusion (non-residential),18/07/2020,1744
Yau Tsim Mong,L & D House KFC (non-residential),18/07/2020,1762
Kwun Tong,Domain Euro go go (non-residential),18/07/2020,1781
Kwun Tong,Domain Saizeriya Italian Restaurant (non-residential),18/07/2020,1781
Kwun Tong,Kai Tin Shopping Centre Good Take Cart Noodles (non-residential),18/07/2020,1781
Kwun Tong,Kwong Tin Shopping Centre Café de Coral (non-residential),18/07/2020,1781
Kwun Tong,Liadro Centre (non-residential),18/07/2020,1781
Kwun Tong,Ping Tin Shopping Centre Café 100% (non-residential),18/07/2020,1781
Yau Tsim Mong,South Seas Centre Fujiyama 55 (non-residential),18/07/2020,1784
Wong Tai Sin,Tsz Wan Shan Shopping Centre Nice Capital Restaurant (non-residential),18/07/2020,1786
Kwun Tong,Tak Tin Market (non-residential),18/07/2020,1805
Kowloon City,Ching Long Shopping Centre Golden Phoenix (non-residential),18/07/2020,1808
Yau Tsim Mong,Kowloon Union Church (non-residential),18/07/2020,1809
Yau Tsim Mong,Tak Sun Primary School (non-residential),18/07/2020,1809
Kwai Tsing,Tsing Yi Square (non-residential),18/07/2020,1814
Yau Tsim Mong,Hanchung Mansion (non-residential),18/07/2020,1837
Yau Tsim Mong,Kai Seng Commercial Centre (non-residential),18/07/2020,1837
Yau Tsim Mong,The Hong Kong Museum of Art INK Seafood Bar & Eatery (non-residential),18/07/2020,1837
Tsuen Wan,Heung Che Street Market (non-residential),18/07/2020,1859
Sham Shui Po,Dragon Centre The Palace (non-residential),18/07/2020,1864
Central & Western,Winbase Centre (non-residential),18/07/2020,1864
Wong Tai Sin,"Ngan Fung House, Fung Tak Estate (non-residential)",18/07/2020,1868
Wong Tai Sin,"Kai Fai House, Choi Wan (II) Estate (non-residential)",18/07/2020,1875
Kwun Tong,"Tin Kei House, Shun Tin Estate (non-residential)",18/07/2020,1875
Eastern,Provident Centre (non-residential),18/07/2020,1896
Eastern,134 Electric Road (non-residential),18/07/2020,1909
Wan Chai,The Hemispheres ASAP As Simple As Possible (non-residential),18/07/2020,1909
Yau Tsim Mong,Yu Chau Street Refuse Collection Point (non-residential),18/07/2020,1919
Wan Chai,Hoi Shing Building 東坡豬手麵 (non-residential),18/07/2020,1923
Yau Tsim Mong,Wah Hing Building Sawasdee Krub Thai Restaurant (non-residential),18/07/2020,1941
Kowloon City,Chiu Man House Oi Man Tea Restaurant (non-residential),18/07/2020,1942
Yau Tsim Mong,The One East Ocean Lafyette (non-residential),18/07/2020,1942
Sha Tin,Kings Wing Plaza 2 Fulum Palace (non-residential),18/07/2020,1948
Tai Po,Maxim's Food Factory (non-residential),18/07/2020,1951
Yuen Long,Tin Chak Ancillary Facilities Block (non-residential),18/07/2020,1953
Wong Tai Sin,Manning Theatre Building Chui Yuen Noodle Restaurant (non-residential),18/07/2020,1959
Sai Kung,The Capitol LOHAS Park (non-residential),18/07/2020,1990
Tuen Mun,Sun Tuen Mun Shopping Centre (non-residential),18/07/2020,2017
Tuen Mun,Tuen Mun Town Plaza Phase 1 Noble Dim Sum (non-residential),18/07/2020,2017
Sham Shui Po,255 Ki Lung Street TOMATO C HING (non-residential),18/07/2020,2027
Yuen Long,Central Park Towers I (non-residential),18/07/2020,2027
Wan Chai,St Paul's Hospital (non-residential),18/07/2020,2029
Tai Po,1-3 Dai Wang Street (non-residential),18/07/2020,2045
Sham Shui Po,25 Broadway Street May May Restaurant (non-residential),18/07/2020,2089
Yau Tsim Mong,Prince Edward Road West Wai Hing Building (non-residential),18/07/2020,2117
Kwai Tsing,"Tsing Yi Shopping Centre, Tsing Yi Estate (non-residential)",18/07/2020,2137
Kwai Tsing,Tsing Yi Square Daniel's Restaurant (non-residential),18/07/2020,2137
Yau Tsim Mong,Ko's House The Egg House (non-residential),18/07/2020,2146
Yau Tsim Mong,Omega Plaza (non-residential),18/07/2020,2146
Yuen Long,Tin Yiu (II) Estate Tin Wah House (non-residential),18/07/2020,2157
Sha Tin,Sha Tin Galleria (non-residential),18/07/2020,2159
Tuen Mun,Oi Yung House Yau Oi Estate (non-residential),18/07/2020,2168
Kowloon City,Pebbles World Wonderful Worlds of Whampoa (non-residential),18/07/2020,2175
Tuen Mun,Greenland Garden 翠林茶餐廳 (non-residential),18/07/2020,2177
Tuen Mun,Greenland Garden 輝記潮州粉麵 (non-residential),18/07/2020,2177
North,Sha Tau Kok Farm (non-residential),18/07/2020,2178
Kowloon City,Ka Wai Plaza (non-residential),18/07/2020,2190
Yuen Long,"San Shui House, Shui Pin Wai Estate (non-residential)",18/07/2020,2192
Kowloon City,19-21 Lion Rock Road 地茂館燒味粥麵餐廳 (non-residential),18/07/2020,2243
Yau Tsim Mong,Hong Kong Pacific Centre (non-residential),18/07/2020,2249
Tsuen Wan,Citywalk Gyujin Shabu Shabu & Sukiyaki Restaurant (non-residential),18/07/2020,2263
Kowloon City,Metropark Hotel Kowloon Palm Court Western Restaurant (non-residential),18/07/2020,2289
Wong Tai Sin,Cheung Lok Building (non-residential),18/07/2020,2303
Kwun Tong,Camel Paint Building Block III The Cool Cousins Cafe & Noodle Bar (non-residential),18/07/2020,2376
Kowloon City,Pearl House 七妹美食 (non-residential),18/07/2020,2395
Sham Shui Po,Sheung Fook Building (non-residential),18/07/2020,2419
Yau Tsim Mong,New East Ocean Centre (non-residential),18/07/2020,2498
Yau Tsim Mong,Tsim Sha Tsui Centre Outback (non-residential),18/07/2020,2498
Sha Tin,Grandeur Shopping Arcade Café de Coral (non-residential),18/07/2020,2528
Tsuen Wan,Golden Bear Industrial Centre (non-residential),18/07/2020,2652
Tai Po,Wing Fai Garden Shopping Center Star Palace (non-residential),18/07/2020,2782
Wong Tai Sin,Tsz Wan Shan Shopping Centre Green River Restaurant (non-residential),18/07/2020,"1425, 1430, 1440, 1444, 1445, 1484, 1519, 1531, 1532, 1555, 1586, 1605, 1744, 1756, 1841, 1844, 2130, 2636, 2187"
Sha Tin,Union Hospital (non-residential),18/07/2020,"1483, 1584, 1848, 2028"
Wong Tai Sin,Tsz Wan Shan Shopping Centre Fairwood (non-residential),18/07/2020,"1491, 1699, 1744"
Kowloon City,St. Teresa's Hospital (non-residential),18/07/2020,"1513, 2243"
Yau Tsim Mong,Wai Fung Plaza (non-residential),18/07/2020,"1542, 2000"
Wong Tai Sin,Lions Rise Mall V Cuisine (non-residential),18/07/2020,"1607, 1876"
Wong Tai Sin,Plaza Hollywood (non-residential),18/07/2020,"1665, 1845, 2024, 2139"
Sham Shui Po,Block B West Kowloon Law Courts Building (non-residential),18/07/2020,"1672, 1864"
Wong Tai Sin,Sheung Fung Street Market (non-residential),18/07/2020,"1681, 1862"
Tuen Mun,Waldorf Shopping Centre (non-residential),18/07/2020,"1734, 2192"
Yau Tsim Mong,Oriental Centre Nine Kee Chiu Chow Restaurant (non-residential),18/07/2020,"1739, 1839"
Yau Tsim Mong,Pioneer Centre Chiu Garden (non-residential),18/07/2020,"1768, 1962"
Central & Western,Admiralty Centre Tower 1 (non-residential),18/07/2020,"1864, 1740"
Sai Kung,MCP Central (non-residential),18/07/2020,"1902, 1949"
Sha Tin,Chung On Shopping Centre (non-residential),18/07/2020,"1906, 1979"
Wong Tai Sin,Fung Tak Shopping Centre (non-residential),18/07/2020,"1956, 1689, 1963, 1773, 1868"
Eastern,Cheong Wei Industrial Building (non-residential),18/07/2020,"1988, 2144"
Sai Kung,Sea to Sky LOHAS Park (non-residential),18/07/2020,"2071, 2206"
Sai Kung,Tseung Kwan O Plaza Tai Hing (non-residential),18/07/2020,"2071, 2206"
Yau Tsim Mong,13 Shanghai Street Come More a Bowl (non-residential),19/07/2020,1783
Kwun Tong,Choi Tak Shopping Centre Lung Kee restaurant (non-residential),19/07/2020,1792
Kwun Tong,East Sun Industrial Centre (non-residential),19/07/2020,1792
Sha Tin,51 Tsuen Nam Road Red Tea Café (non-residential),19/07/2020,1807
Sha Tin,"Block A, New Trade Plaza (non-residential)",19/07/2020,1807
Sha Tin,Lucky Plaza (non-residential),19/07/2020,1807
Sha Tin,Sha Tin Plaza TamJai SamGor (non-residential),19/07/2020,1807
Wan Chai,Tung Chiu Commercial Centre (non-residential),19/07/2020,1807
Sha Tin,Yu Chui Shopping Centre Super Super Congee & Noodle (non-residential),19/07/2020,1807
Sham Shui Po,So Uk Shopping Centre (non-residential),19/07/2020,1817
Yau Tsim Mong,Manson House (non-residential),19/07/2020,1833
Wong Tai Sin,19-21 Shung Ling Street (non-residential),19/07/2020,1834
Kwun Tong,Ngau Tau Kok Market (non-residential),19/07/2020,1853
Tsuen Wan,16 Shiu Wo Street C.K Dim Sum (non-residential),19/07/2020,1856
Kwun Tong,Amoy Plaza III (non-residential),19/07/2020,1856
Kwun Tong,Megabox Taketora Bamboo (non-residential),19/07/2020,1856
Wan Chai,Jockey Club Headquarters (non-residential),19/07/2020,1860
Yuen Long,YOHO Mall I (non-residential),19/07/2020,1879
Kwun Tong,Ngau Tau Kok Public Toilet/ Bathhouse (non-residential),19/07/2020,1884
Wong Tai Sin,Choi Wan Shoping Centre Fairwood (non-residential),19/07/2020,1903
Sham Shui Po,157 Fuk Wa Street (non-residential),19/07/2020,1904
Kwun Tong,Tsuen Shek House Ping Shek Estate (non-residential),19/07/2020,1904
Yau Tsim Mong,Sheraton Hong Kong Hotel & Towers (non-residential),19/07/2020,1910
Kowloon City,Kowloon City Municipal Services Building (non-residential),19/07/2020,1918
Sha Tin,Lung Hang Estate Community Centre (non-residential),19/07/2020,1920
Kwun Tong,Manulife Financial Centre Tower A (non-residential),19/07/2020,1920
Wan Chai,Merlin Garden Golden Diamond Cuisine (non-residential),19/07/2020,1925
Sham Shui Po,Hoi Lai Shopping Centre (non-residential),19/07/2020,1928
Kowloon City,7 Man Tai Street Indonesian Sate House (non-residential),19/07/2020,1971
Sha Tin,Mei Lam Shopping Centre Café de Coral (non-residential),19/07/2020,1978
Sha Tin,Chung On Shopping Centre Café de Coral (non-residential),19/07/2020,1979
Kwai Tsing,Maritime Square Tenya (non-residential),19/07/2020,1996
Sham Shui Po,73 Broadway Road Capital Canton (non-residential),19/07/2020,2089
Yuen Long,Yuen Long Plaza Nabe One (non-residential),19/07/2020,2092
Kowloon City,Kowloon City Plaza Fairwood (non-residential),19/07/2020,2103
Kowloon City,Oi Man Plaza Café 100% (non-residential),19/07/2020,2110
Tuen Mun,Shan King Commercial Centre Café de Coral (non-residential),19/07/2020,2155
Tuen Mun,Shan King Commercial Centre 雲貴軒米線專門店 (non-residential),19/07/2020,2155
Wan Chai,Johnston Court (non-residential),19/07/2020,2164
North,Lung Fung Garden Tong Kee Bao Dim (non-residential),19/07/2020,2178
North,Sunningdale garden (non-residential),19/07/2020,2178
North,16 Lung Sum Avenue (non-residential),19/07/2020,2179
Kwai Tsing,Cheung Fat plaza Café de Itamomo (non-residential),19/07/2020,2184
Sham Shui Po,New Pei Ho Building Mcdonald’s (non-residential),19/07/2020,2186
Central & Western,Pacific Place Kokomi (non-residential),19/07/2020,2193
Yau Tsim Mong,Mongkok Market (non-residential),19/07/2020,2195
Tuen Mun,129 So Kwun Wat Tsuen (non-residential),19/07/2020,2226
Yau Tsim Mong,Langham Place Food Court (non-residential),19/07/2020,2236
Central & Western,MTR Central Station (non-residential),19/07/2020,2249
Tsuen Wan,Kolour Tsuen Wan II (non-residential),19/07/2020,2263
Tsuen Wan,Panda Place Pizza Hut (non-residential),19/07/2020,2263
Eastern,Electric Road Municipal Services Building (non-residential),19/07/2020,2276
Tuen Mun,Ocean walk Tao Heung (non-residential),19/07/2020,2288
Kwun Tong,Hopewell House (non-residential),19/07/2020,2308
Tai Po,Tai Po Mega Mall (non-residential),19/07/2020,2357
Kowloon City,Hunghom Square (non-residential),19/07/2020,2360
Yau Tsim Mong,In's Point (non-residential),19/07/2020,2398
Yau Tsim Mong,Sino Centre (non-residential),19/07/2020,2398
Tuen Mun,Lee King Building Ka Lai Yuen Chiu Chow Restaurant (non-residential),19/07/2020,2400
Kowloon City,"Site 5 & 6, Wonderful Worlds of Whampoa (non-residential)",19/07/2020,2494
Sha Tin,Tai Wai Market (non-residential),19/07/2020,2583
Tuen Mun,Butterfly Plaza Tai Hing (non-residential),19/07/2020,2600
Yuen Long,Kau Yuk Road Lai Sing Café (non-residential),19/07/2020,2600
Kwun Tong,Lei Yue Mun Municipal Services Building (non-residential),19/07/2020,2656
Yau Tsim Mong,Langham Place (non-residential),19/07/2020,"1297, 1641, 2008, 2186"
Wong Tai Sin,Choi Wan Commerical Complex (non-residential),19/07/2020,"1361, 1401, 1767, 2379"
Wong Tai Sin,Nga Chi Wan Municipal Services Building (non-residential),19/07/2020,"1371, 1388, 1389, 1394, 1467, 1468, 1523, 1597, 1671, 1710, 1767, 1834, 1854, 2094"
Wong Tai Sin,Winfair Building (non-residential),19/07/2020,"1487, 1832, 1956, 2380"
Kwun Tong,Shui Wo Street Municipal Services Building (non-residential),19/07/2020,"1512, 1672, 1802, 1884, 2124"
Wong Tai Sin,Chuk Yuen Plaza (non-residential),19/07/2020,"1547, 1750, 1939, 2104"
Yau Tsim Mong,Gala Place (non-residential),19/07/2020,"1610, 1640, 1875, 2027, 2186, 2652"
Southern,TWGHs Jockey Club Sunshine Complex for the Elderly (non-residential),19/07/2020,"1691, 1708, 1908"
Wong Tai Sin,Wah Kay House (non-residential),19/07/2020,"1720, 2380"
Tuen Mun,H.A.N.D.S Shopping Centre (non-residential),19/07/2020,"1763, 1894, 2168"
Kowloon City,Homantin Plaza (non-residential),19/07/2020,"1780, 2476"
Kwun Tong,Shing Yip Industrial Building Hoi Chiu Canteen (non-residential),19/07/2020,"1792, 2011"
Islands,Citygate (non-residential),19/07/2020,"1879, 2012"
Sai Kung,Pak Kong Water Treatment Works (non-residential),19/07/2020,"1949, 1976"
Tuen Mun,Shan King Commercial Centre Super Super Congee & Noodle (non-residential),19/07/2020,"2005, 2155"
North,Fanling Centre Green River Restaurant (non-residential),19/07/2020,"2053, 2072"
Kwai Tsing,Tsing Yi Municipal Services Building (non-residential),19/07/2020,"2137, 2648"
North,Lung Fung Garden Shopping Arcade (non-residential),19/07/2020,"2157, 2178"
Kowloon City,Kai Long Court Café 100% (non-residential),19/07/2020,"2164, 2300"
Eastern,Harbour North (non-residential),20/07/2020,1888
Sham Shui Po,Koon Kay Mansion Amin Indonesian Restaurant (non-residential),20/07/2020,1926
Sham Shui Po,Nam Lo Mansion (non-residential),20/07/2020,1927
Sham Shui Po,Un Chau Shopping Centre Gold Mondo Vietnamese Restaurant (non-residential),20/07/2020,1927
Sha Tin,Lee On Shopping Centre (non-residential),20/07/2020,1932
Yau Tsim Mong,Hilton Towers (non-residential),20/07/2020,1945
Kwun Tong,Skyline Tower (non-residential),20/07/2020,1959
Yau Tsim Mong,Olympian City 1 Café de Coral (non-residential),20/07/2020,1979
Yau Tsim Mong,Kwong Fu Building MONKONG88 (non-residential),20/07/2020,1980
Sai Kung,"Sheung Yan House, Sheung Tak Estate (non-residential)",20/07/2020,1983
Central & Western,118 Connaught Road West (non-residential),20/07/2020,2001
Sha Tin,Hilton Plaza (non-residential),20/07/2020,2012
Sha Tin,Lucky Plaza Tong Kee Bao Dim (non-residential),20/07/2020,2012
Tsuen Wan,Allway Gardens Shopping Centre Phase 1 (non-residential),20/07/2020,2024
Kowloon City,Whampoa Garden McDonald's (non-residential),20/07/2020,2025
Sham Shui Po,Stage 3 Mei Foo Sun Chuen (non-residential),20/07/2020,2042
North,Lung Fung Garden Shopping Arcade 豐泰牛雜專家 (non-residential),20/07/2020,2078
North,Tin Ming House Tin Ping Estate (non-residential),20/07/2020,2078
Tai Po,Fortune Plaza Mcdonald's (non-residential),20/07/2020,2090
Tai Po,Tai Yuen Shopping Centre (non-residential),20/07/2020,2090
Sha Tin,Kwai Wo House Lek Yuen Estate (non-residential),20/07/2020,2103
Tuen Mun,Trend Plaza North Wing (non-residential),20/07/2020,2153
North,107 San Shing Avenue 皇牌冰室 (non-residential),20/07/2020,2157
Kowloon City,Civil Engineering And Development Building (non-residential),20/07/2020,2159
Tsuen Wan,One Midtown (non-residential),20/07/2020,2204
Wong Tai Sin,Temple Mall North (non-residential),20/07/2020,2214
Tuen Mun,Gold Coast Piazza (non-residential),20/07/2020,2226
Eastern,One Taikoo Place (non-residential),20/07/2020,2242
Islands,Airport Police Station (non-residential),20/07/2020,2264
Tsuen Wan,New Territories South Regional Police Headquarters (non-residential),20/07/2020,2264
Kowloon City,Homantin Plaza Star Seafood and Roasted Goose Restaurant (non-residential),20/07/2020,2282
Tuen Mun,Golden Orchid Court (non-residential),20/07/2020,2288
Yuen Long,Aster Court Tak Fook Seafood Restaurant (non-residential),20/07/2020,2315
Sham Shui Po,MTR Nam Cheong Station (non-residential),20/07/2020,2325
North,Wing Fai Centre (non-residential),20/07/2020,2357
Tuen Mun,New Town Mansion (non-residential),20/07/2020,2377
Tuen Mun,Tuen Mun Ferry Pier (non-residential),20/07/2020,2377
Wan Chai,Revenue Tower (non-residential),20/07/2020,2379
Kwun Tong,Shui Kei House (non-residential),20/07/2020,2380
Yau Tsim Mong,Good Hope Building McDonald's (non-residential),20/07/2020,2476
Southern,Chi Fu Landmark Pizza Hut (non-residential),20/07/2020,2485
Sha Tin,MTR City One Station (non-residential),20/07/2020,2491
Sai Kung,East Point City Mee…Lemongrass (non-residential),20/07/2020,2494
Yau Tsim Mong,Harbour Crystal Centre (non-residential),20/07/2020,2498
Kwai Tsing,Prosperity Centre (non-residential),20/07/2020,2509
Wong Tai Sin,Maxgrand Plaza (non-residential),20/07/2020,2572
Kowloon City,25 Hau Wong Road (non-residential),20/07/2020,2613
Yau Tsim Mong,26 Cheong Lok Street (non-residential),20/07/2020,2615
Yau Tsim Mong,Royal Commercial Centre Tamjai Yunnan Mixian (non-residential),20/07/2020,2642
Kwai Tsing,Ching Wai House Cheung Ching Estate (non-residential),20/07/2020,2648
Sham Shui Po,273 Castle Peak Road (non-residential),20/07/2020,2652
Yau Tsim Mong,Diamond Building Sun Kwong Nam Restaurant (non-residential),20/07/2020,2681
Yau Tsim Mong,Argyle Centre Phase I (non-residential),20/07/2020,"1315, 1512, 1845, 2010"
Kwai Tsing,Dorsett Tsuen Wan (non-residential),20/07/2020,"1464, 1938"
Wong Tai Sin,58 Yuk Wah Street (non-residential),20/07/2020,"1477, 1679, 2259"
Yau Tsim Mong,Metropark Hotel Mongkok Victoria Harbour Restaurant (non-residential),20/07/2020,"1483, 1768, 1799, 1906, 1919, 1951, 2090, 2728"
