District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Wong Tai Sin,"Chui King House, Choi Hung Estate",,2446
Kwai Tsing,Kwai Po Building,,2447
Kowloon City,"Tak Sui House, Tak Long Estate",,2448
Kwun Tong,"Sau Wai House, Sau Mau Ping Estat",,2449
Kwun Tong,"Block 2, Lotus Tower",,2450
Wong Tai Sin,"Chui King House, Choi Hung Estate",,2451
Yau Tsim Mong,Pak Tung Building,,2452
Sha Tin,"Lai Chung House, Mei Chung Court",,2453
Kwun Tong,"Yat Mei House, Yau Chui Court",,2454
Tuen Mun,"Oi Shun House, Yau Oi Estate",,2455
Tuen Mun,"Oi Shun House, Yau Oi Estate",,2456
Tuen Mun,"Wu Fai House, Wu King Estate",,2457
Tuen Mun,"Block 5, Prime View Garden",,2458
Tuen Mun,"Oi Shun House, Yau Oi Estate",,2459
Wong Tai Sin,"Oi Chung House, Tsz Oi Court",,2460
Sha Tin,"Hing Wan House, Sui Wo Court",,2461
Wong Tai Sin,"Toa Yuen House, Chuk Yuen North Estate",,2462
Tuen Mun,"Oi Shun House, Yau Oi Estate",,2465
Kwun Tong,"Ying Lok House, Choi Ying Estate",,2467
Eastern,"Golden Maple Court, Full Wealth Gardens",,2468
Eastern,Tung Sing House,,2469
Kowloon City,"Block 3, Beverly Villas",,2470
Kwun Tong,"Block D, Telford Gardens",,2472
Wong Tai Sin,"Tower 8, The Latitude",,2473
Yau Tsim Mong,Pollock Building,,2474
Yau Tsim Mong,Yau Ma Tei Ambulance Depot,,2475
Kowloon City,"Sik Man House, Ho Man Tin Estate",,2476
Tuen Mun,"No. 104, 105, 106, 107, 114, 115, G/F, & No. 112-113, Terrace 1, Wong Ka Wai",,2477
Sai Kung,"Block 8, Oscar by The Sea",,2478
Sai Kung,"Block 6, Fu Ning Garden",,2479
Wong Tai Sin,"Lok Shun House, Tsz Lok Estate",,2480
Sham Shui Po,"Hung Yu Mansion, 174-188 Un Chau Street",,2481
Sham Shui Po,141 Castle Peak Road,,2482
Sham Shui Po,141 Castle Peak Road,,2483
Kwun Tong,"Kai Yue House, Kai Yip Estate",,2484
Southern,Hong Kong Reese Hotel,,2485
